,sample_output,test_output,Random_forest,Linear_prediction
0,1.5111821992526702,1.5111,1.5126235125671401,1.5152830249535922
1,1.5114997206218845,1.5116,1.512592479831961,1.5115981163363044
2,1.511429957179966,1.5115,1.5121020649111367,1.5115309744979326
3,1.5116280675122347,1.5117,1.5127014838980355,1.5119402318633233
4,1.5121507204261475,1.5124,1.511964533629579,1.5126670911814157
5,1.5191769485132738,1.5191,1.5198431206705438,1.5193668669927005
6,1.5177658598232078,1.5177,1.5175769446987215,1.51772214783347
7,1.524124608036839,1.5237,1.52059103811694,1.5231450824904327
8,1.5295854773723414,1.5291,1.5286110569884483,1.530190056040797
9,1.5285910716161077,1.5281,1.528758511231077,1.5283608598074947
10,1.5286803704224272,1.5284,1.528176096306,1.5286514429281537
11,1.526426927747684,1.5263,1.5267617191915397,1.5259437217283134
12,1.526896620449755,1.527,1.5247386727552743,1.526840977454472
13,1.5229891006030565,1.5235,1.5239672870616483,1.5240021525788192
14,1.5191991077612563,1.5193,1.5186253904228058,1.5191138094197099
15,1.5211412149350532,1.5215,1.5189426094580125,1.521749776871789
16,1.5094780032933242,1.5095,1.5081255908891713,1.5095167861691747
17,1.5103864433491117,1.5104,1.5102285696343989,1.5105578772164021
18,1.5095883976001654,1.5095,1.5097009005325026,1.5091800564806048
19,1.5096164596251886,1.5094,1.5095093765519016,1.5084612077008073
20,1.5093796304234932,1.5095,1.5095278755940493,1.5095252036954347
21,1.5103331418751027,1.5103,1.5097644228480989,1.5109856585878019
22,1.510284314532847,1.5102,1.5102008624892882,1.5097766074723635
23,1.5038569624218303,1.5055,1.5075835211515827,1.5057292888778333
24,1.5097651434226942,1.5095,1.5097585084567584,1.5082525192665939
25,1.5093028620603655,1.5095,1.5096131607518946,1.5091813915315155
26,1.505845700188469,1.5055,1.5048835654638895,1.5053777241519724
27,1.505524314644967,1.5055,1.505058175634729,1.505352721400473
28,1.5084497419778387,1.5083,1.5078405589279702,1.5083734051696096
29,1.5128652325034546,1.5127,1.5127387306341682,1.513943740716118
30,1.5138917829772853,1.5137,1.5152232183134795,1.5138462040013705
31,1.512720312374892,1.5125,1.513142563076209,1.5126176870799695
32,1.5133892286045976,1.5133,1.5131433575545135,1.5137749231326465
33,1.515443173180138,1.5152,1.5156998088094684,1.515173283489335
34,1.5136513011691684,1.5135,1.5143512790105078,1.5134880897495036
35,1.5094222210415817,1.5091,1.5093330470201578,1.50830757719456
36,1.5080411516851282,1.5079,1.5073257635268071,1.5078564997202788
37,1.5086413321181098,1.5085,1.508325356982784,1.5090638444199298
